group_order,group_id,group_label,class_order_in_group,class_id,class_label,source_punk_id,source_accessories,accessories_match,manual_seed_image,current_ladder_head_layer_mode,needs_back_fill_color,back_fill_palette_family,back_fill_palette_notes,desired_ladder_head_layer_mode,needs_special_case,notes
1,back-shaved-head,Shaved Head,1,human-shaved-head,Shaved Head,56,Shaved Head,Shaved Head,human-shaved-head/01-back-shaved-head-56-jmann-edit.png,betweenArmsAndTorso,,,,,,
2,back-messy-short-hair,Messy Short Hair,1,human-messy-hair,Messy Hair,44,Messy Hair,Messy Hair,human-messy-hair/12-human-messy-hair-44-jmann.edit.png,topmost,,,,,,
2,back-messy-short-hair,Messy Short Hair,2,human-dark-hair,Dark Hair,26,Dark Hair,Dark Hair,human-dark-hair/02-back-messy-short-hair-26-jmann-edit.png,topmost,,,,,,
2,back-messy-short-hair,Messy Short Hair,3,human-frumpy-hair,Frumpy Hair,337,Frumpy Hair,Frumpy Hair,human-frumpy-hair/11-human-frumpy-hair-337-jmann.edit.png,topmost,,,,,,
2,back-messy-short-hair,Messy Short Hair,4,human-purple-hair,Purple Hair,346,Purple Hair,Purple Hair,human-purple-hair/17-human-purple-hair-346-jmann.edit.png,topmost,,,,,,
2,back-messy-short-hair,Messy Short Hair,5,human-blonde-short,Blonde Short,870,Blonde Short,Blonde Short,human-blonde-short/09-human-blonde-short-870-jmann.edit.png,topmost,,,,,,
3,back-bob-straight-hair,Bob / Straight Hair,1,human-blonde-bob,Blonde Bob,96,Blonde Bob,Blonde Bob,human-blonde-bob/03-back-bob-straight-hair-96-jmann-edit.png,topmost,,,,,,
3,back-bob-straight-hair,Bob / Straight Hair,2,human-straight-hair,Straight Hair,187,Straight Hair,Straight Hair,human-straight-hair/19-human-straight-hair-187-jmann.dit.png,topmost,,,,,,
3,back-bob-straight-hair,Bob / Straight Hair,3,human-straight-hair-dark,Straight Hair Dark,417,Straight Hair Dark,Straight Hair Dark,human-straight-hair-dark/21-human-straight-hair-dark-417-jmann.edit.png,topmost,,,,,,
3,back-bob-straight-hair,Bob / Straight Hair,4,human-straight-hair-blonde,Straight Hair Blonde,106,Straight Hair Blonde,Straight Hair Blonde,human-straight-hair-blonde/20-human-straight-hair-blonde-106-jmann-edit.png,topmost,,,,,,
4,back-wild-long-hair,Wild / Long Hair,1,human-stringy-hair,Stringy Hair,31,Stringy Hair,Stringy Hair,human-stringy-hair/22-human-stringy-hair-31-jmann.edit.png,topmost,,,,,,
4,back-wild-long-hair,Wild / Long Hair,2,human-vampire-hair,Vampire Hair,681,Vampire Hair,Vampire Hair,human-vampire-hair/23-human-vampire-hair-681-jmann.edit.png,topmost,,,,,,
4,back-wild-long-hair,Wild / Long Hair,3,human-wild-hair,Wild Hair,2,Wild Hair,Wild Hair,human-wild-hair/04-back-wild-long-hair-2-jmann-edit.png,topmost,,,,,,
4,back-wild-long-hair,Wild / Long Hair,4,human-wild-white-hair,Wild White Hair,25,Wild White Hair,Wild White Hair,human-wild-white-hair/25-human-wild-white-hair-25-jmann.edit.png,topmost,,,,,,
4,back-wild-long-hair,Wild / Long Hair,5,human-wild-blonde,Wild Blonde,241,Wild Blonde,Wild Blonde,human-wild-blonde/24-human-wild-blonde-241-jmann.edit.png,topmost,,,,,,
5,back-crest-spike,Crest / Spike,1,human-mohawk,Mohawk,113,Mohawk,Mohawk,human-mohawk/13-human-mohawk-113-jmann-edit.png,betweenArmsAndTorso,,,,,,
5,back-crest-spike,Crest / Spike,2,human-mohawk-dark,Mohawk Dark,323,Mohawk Dark,Mohawk Dark,human-mohawk-dark/14-human-mohawk-dark-323-jmann.edit.png,betweenArmsAndTorso,,,,,,
5,back-crest-spike,Crest / Spike,3,human-mohawk-thin,Mohawk Thin,105,Mohawk Thin,Mohawk Thin,human-mohawk-thin/15-human-mohawk-thin-105-jmann.eth.png,betweenArmsAndTorso,,,,,,
5,back-crest-spike,Crest / Spike,4,human-red-mohawk,Red Mohawk,36,Red Mohawk,Red Mohawk,human-red-mohawk/18-human-red-mohawk-36-jmann.edit.png,betweenArmsAndTorso,,,,,,
5,back-crest-spike,Crest / Spike,5,human-peak-spike,Peak Spike,33,Peak Spike,Peak Spike,human-peak-spike/05-back-crest-spike-33-jmann-edit.png,betweenArmsAndTorso,,,,,,
6,back-high-volume-quirky,High-Volume Quirky Hair,1,human-crazy-hair,Crazy Hair,20,Crazy Hair,Crazy Hair,human-crazy-hair/06-back-high-volume-quirky-20-jmann-edit.png,betweenArmsAndTorso,,,,,,
6,back-high-volume-quirky,High-Volume Quirky Hair,2,human-clown-hair-green,Clown Hair Green,335,Clown Hair Green,Clown Hair Green,human-clown-hair-green/10-human-clown-hair-green-335-jmann.edit.png,betweenArmsAndTorso,,,,,,
7,back-side-asymmetric,Side-Asymmetric Hair,1,human-half-shaved,Half Shaved,43,Half Shaved,Half Shaved,human-half-shaved/07-back-side-asymmetric-43-jmann-edit.png,betweenArmsAndTorso,,,,,,
7,back-side-asymmetric,Side-Asymmetric Hair,2,human-orange-side,Orange Side,249,Orange Side,Orange Side,human-orange-side/16-human-orange-side-249-jmann.edit.png,betweenArmsAndTorso,,,,,,
8,back-pigtails,Pigtails,1,human-pigtails,Pigtails,1232,Pigtails,Pigtails,human-pigtails/08-back-pigtails-1232-source-mann-edit.png,topmost,,,,,,
9,back-soft-knit-cap,Soft Knit Cap,1,human-beanie,Beanie,344,Beanie,Beanie,human-beanie/02-human-beanie-344-jmann.edit.png,betweenArmsAndTorso,,,,,,
9,back-soft-knit-cap,Soft Knit Cap,2,human-knitted-cap,Knitted Cap,47,Knitted Cap,Knitted Cap,human-knitted-cap/09-back-soft-knit-cap-47-jmann-edit.png,betweenArmsAndTorso,,,,,,
9,back-soft-knit-cap,Soft Knit Cap,3,human-tassle-hat,Tassle Hat,66,Tassle Hat,Tassle Hat,human-tassle-hat/07-human-tassle-hat-66-jmann.edit.png,betweenArmsAndTorso,,,,,,
10,back-bandana-wrap,Bandana / Wrap,1,human-bandana,Bandana,93,Bandana,Bandana,human-bandana/01-human-bandana-93-jmann.edit.png,betweenArmsAndTorso,,,,,,
10,back-bandana-wrap,Bandana / Wrap,2,human-do-rag,Do-rag,6,Do-rag,Do-rag,human-do-rag/10-back-bandana-wrap-6-jmann.edit.png,betweenArmsAndTorso,,,,,,
11,back-thin-crown-band,Thin Crown Band,1,human-headband,Headband,57,Headband,Headband,human-headband/11-back-thin-crown-band-57-jmann-edit.png,betweenArmsAndTorso,,,,,,
11,back-thin-crown-band,Thin Crown Band,2,human-tiara,Tiara,706,Tiara,Tiara,human-tiara/08-human-tiara-706-jmann.edit.png,betweenArmsAndTorso,,,,,,
